Original Link,Resolved CID
tr.wikipedia-on-ipfs.org/wiki/Küresel_uydu_seyrüsefer_sistemi,bafkreifchcfbpklayijq63r7oweij4wiawkzotcx3w4xhngs3wectordau
tr.wikipedia-on-ipfs.org/wiki/Uzay_araştırmaları,bafkreidrokzhneguqs4ymvsigpbyu7txbl72g2ff4kqkoqua5fibp2kbne
tr.wikipedia-on-ipfs.org/wiki/Uzay_ajansları_listesi,bafkreib6re6mmjxwuucezz7bisxzizhkjakljolvtrbaeplyo2zrivej2u
tr.wikipedia-on-ipfs.org/wiki/Uzay_uçağı,bafkreidlxs3asrbtg7akbj762usichp5dm2rs2jaztriknz3d3o4ngcgw4
tr.wikipedia-on-ipfs.org/wiki/Dünya,bafkreier4rltuldoga5si2z3723bdsoyk3k4snj6b4tuke5b6y2twi3poe
tr.wikipedia-on-ipfs.org/wiki/Uluslararası_Uzay_İstasyonu,bafkreiai6hhw4yo5sfb5k7jjy5wts5bvummx64urn5jwbmzduru5ese6ci
tr.wikipedia-on-ipfs.org/wiki/Uzay_taşıtı_dışı_etkinlik,bafkreif4f3u4emjabricuvkn4a4lbvokwjp5aay47hdpposbdyuczcozqi
tr.wikipedia-on-ipfs.org/wiki/Avrupa_Uzay_Ajansı,bafkreihpu7tzjd4lyotufknmdypqhtczdylibgqtm6uwsjh2xorpy6uwk4
tr.wikipedia-on-ipfs.org/wiki/Uzay_Yarışı,bafkreihfjwu4tkdq626zfhe4nf2udfhtha3glofly3tpskhwvkksxidsb4
tr.wikipedia-on-ipfs.org/wiki/Kanada_Uzay_Ajansı,bafkreigy7jjfzxm7u2frfkbmy7z4r6rp6rnyaper76f74w4ee7yks6dvfi
tr.wikipedia-on-ipfs.org/wiki/Soyuz_programı,bafkreigjzvckkzqcfilevda5jdfd3mzdhbbkjilxlqvg5nvjkahmo3e2eq
tr.wikipedia-on-ipfs.org/wiki/Japonya_Uzay_Araştırma_Ajansı,bafkreihhec3pegzan7y56pjdamcofegsyhxvppgo5ejbpps2o55wjk7qka
tr.wikipedia-on-ipfs.org/wiki/Kozmik_ışınların_sağlık_tehditi,bafkreig5xhhkbtthmmf3fao2znktx6h77fjzduxhtjjce736ye4qj6ukpe
tr.wikipedia-on-ipfs.org/wiki/Işık_hızı,bafkreibmjs36hyd4emb4mdupbhylmjuupogcafonndsk2ioqedm23dswnm
tr.wikipedia-on-ipfs.org/wiki/Uzay_uçuşunun_tarihçesi,bafkreib3qq5ypf6b5dvuqbesqznmowxcr2ao5dslrzt2ssabssb2zgo5by
tr.wikipedia-on-ipfs.org/wiki/Hindistan_Uzay_Araştırma_Örgütü,bafkreibvrxo4ilid3x4rlgphoalxch6uhfxkiodmradef3tvbia3ajudfu
tr.wikipedia-on-ipfs.org/wiki/Vostok_programı,bafkreidlpgn56nu2dncpucmhpapoi57m6tu3kjwgajjclsrhu3b5bbrbfq
tr.wikipedia-on-ipfs.org/wiki/Dış_uzay,bafkreihkz5dfwbtqy3vt7pa7b5gey24gx4dyer4wqplnfbwvpc72wkuvga
tr.wikipedia-on-ipfs.org/wiki/Uzay_biliminin_anahatları,bafkreicd25tv35i6oewv3g3xo3ugmgjsz6rtpf3p7ofotpbc3lsolwahkq
tr.wikipedia-on-ipfs.org/wiki/Meteoroloji_uyduları,bafkreihi4vgnzl7x352a56slgfva4m5iahqip3nvgmzcku4mkdcd3ddq4y
tr.wikipedia-on-ipfs.org/wiki/Fırlatma_aracı,bafkreidydaeygmqcuphx2qagqfmg4emukbymfenyjkuzrp2vknkukcl4xu
tr.wikipedia-on-ipfs.org/wiki/İsrail_Uzay_Ajansı,bafkreihuynp26vcvu2oyybkjci5zyrpeu4huvccl2ksor5ah77yihsm3o4
tr.wikipedia-on-ipfs.org/wiki/Yer_eşzamanlı_yörünge,bafkreigpjefqgjmkzdkwz4caem263dau5diwpqslbh3cgdrmoedei3l32a
tr.wikipedia-on-ipfs.org/wiki/Yerçekimi,bafkreifu3oo2vjeazcqe74uvpghqjapeuvojp6jpbt6k6kb4vazamih4x4
tr.wikipedia-on-ipfs.org/wiki/Yer_merkezli_yörünge,bafkreicyuwjuvbkxjqruiu6hohycfmzfggtwhp56otgdmansx2jg4w5akm
tr.wikipedia-on-ipfs.org/wiki/Görev_kontrol_merkezi,bafkreicbgrrdvntudjzrfuchragrsklb6777irs73zz27gvh2bwlkrmjrm
tr.wikipedia-on-ipfs.org/wiki/Çin_Ulusal_Uzay_İdaresi,bafkreie42owklfx6sspca56jbkykouc53sjv24lsdjrudxkfdaazkmawya
tr.wikipedia-on-ipfs.org/wiki/Uzay_aracı,bafkreiexmls5xygtrqusjzloa5uh4vrtvlp3nucmzuqsjuld4fh7d2r3ea
tr.wikipedia-on-ipfs.org/wiki/Voskhod_programı,bafkreieuscctx7sjvurdjdf7a7opggwkikjbqosmecrwpzc7znc5uzrd4e
tr.wikipedia-on-ipfs.org/wiki/Uluslararası_Standart_Kitap_Numarası,bafkreic7of5jjmesgogrpxeudjzwq6yqfzvsthgxjwvqfoyndn7ju475by
tr.wikipedia-on-ipfs.org/wiki/Tıp_dalları,bafkreif3h6sjadoxtwlt5w4uh3we23gmr5yzgmbwulaum5hrvwrnt4oiga
tr.wikipedia-on-ipfs.org/wiki/Jül_Sezar,bafkreiargtaq7gkb3hi6ykcr4grqcfnql4twgiwxin6pihd7vajfzw56em
tr.wikipedia-on-ipfs.org/wiki/Spor_hekimliği,bafkreiez7ucsm3mmiob5zyyplgbpfy2m7u3snm4nmpvvmx67rbc53lfsiy
tr.wikipedia-on-ipfs.org/wiki/Üroloji,bafkreidz7swrlvvhquojixm2r4fmnvamgpuiorw3q7kjjh3rxvsu6zdbxa
tr.wikipedia-on-ipfs.org/wiki/Acil_tıp,bafkreierrcjllleu34hrvi62biala4au5c6h3gfjqysftmasstevsxi4yy
"tr.wikipedia-on-ipfs.org/wiki/Plastik,_rekonstrüktif_ve_estetik_cerrahi",bafkreicb4rbnztixnzq7h4eja2x4q3f3bugiglp5uozv7hevpzcb2awvvm
tr.wikipedia-on-ipfs.org/wiki/Nöroloji,bafkreidjtcvtj74g6amzjuptjgtmsf42hbblugotrypzhmcoiamfv4kmhi
tr.wikipedia-on-ipfs.org/wiki/Bulaşıcı_hastalık,bafkreicwiupfjqbyqholoeo6dazgrvajyiiethajzcgrqn5bgjul2wodwm
tr.wikipedia-on-ipfs.org/wiki/Nükleer_tıp,bafkreig2rdq4es3bmyhgjsbjmfsglqg6io65csyiesjjlz6fz4w6qfw2e4
tr.wikipedia-on-ipfs.org/wiki/Fiziksel_tıp_ve_rehabilitasyon,bafkreidlk3pvxtg62rytoku6h4wlzzgt5rlcpp42npkdzkwjpvjl3qq4ke
tr.wikipedia-on-ipfs.org/wiki/Hammurabi_Kanunları,bafkreidus5xv2dqp5h52xgbef33sv247tovos2xxj7s5fzv57hbuosd3ea
tr.wikipedia-on-ipfs.org/wiki/Göğüs_hastalıkları,bafkreidi4n5cbdh2lnyzp6wcbmceesbf4fd63itq5yuh3isqhausxiidju
tr.wikipedia-on-ipfs.org/wiki/Tıp_Eğitimi,bafkreihzpecza4cawpzf2ajcxj2gntwlebam3cl34cj2cb65gmvcubhcoy
tr.wikipedia-on-ipfs.org/wiki/Eski_Mısır,bafkreiazr363nzl4s7rzi53rd2gtfwtj7kidvzolxycki3smkh3yfaq5pa
tr.wikipedia-on-ipfs.org/wiki/Halk_sağlığı,bafkreidde7q2lketo5f2bm4hy5rpiiq4fguybbu7cdpzhyk3eccwsx3wdu
tr.wikipedia-on-ipfs.org/wiki/Kalp_masajı,bafkreif676nwqol3foex5byzqqr5fuqjzgofzjovb5xcsqfsdxetsyp2ge
tr.wikipedia-on-ipfs.org/wiki/İç_hastalıkları,bafkreiezlvqv2yqlj7tjvablvu2qe27nwrw73kdjs5d65eak3dra3r32py
tr.wikipedia-on-ipfs.org/wiki/Adli_Tıp_Kurumu,bafkreidynmi4hiy7hil4h46yeq2cead57rh7vy3oqjkilkfqfau6sbirdu
tr.wikipedia-on-ipfs.org/wiki/Aile_hekimliği,bafkreig57mdrpwwqb4ldokam3bbmvgvsozgii45n2yoskgh22xxzgsjyey
tr.wikipedia-on-ipfs.org/wiki/Leipzig_Üniversitesi,bafkreialclphk4dxd64t4eh2gfclmiqs54ixvkpbzgicwbzvvrusvwbz4m
tr.wikipedia-on-ipfs.org/wiki/Pontus_Krallığı,bafkreiackn4rgxj3y4e32cezdn5cbxkaxzxyc4clrlkyl4ircwom5m2ofy
tr.wikipedia-on-ipfs.org/wiki/Zeydîler,bafkreido74c5wa42rxxoitd4urnipgpn5ph6alw2yynsxogbftfdb7u4gu
tr.wikipedia-on-ipfs.org/wiki/Keyânî_Hanedanı,bafkreie2j2dwzcgzik2ibflc4kkccquimz73i637tsyp6zxnun27amfuvy
tr.wikipedia-on-ipfs.org/wiki/Selçuklu_(anlam_ayrımı),bafkreicgg2wmu4ig6zvnwyjd7hmxw45kum4nrgmcx4tuk54kenycik6kiq
tr.wikipedia-on-ipfs.org/wiki/Suriye_Selçukluları,bafkreiba2axruajaosrmvxxh3h7voyviw47eprkuxdxwpl4ixva35t5sxa
tr.wikipedia-on-ipfs.org/wiki/Anadolu_Selçuklu_sultanları_listesi,bafkreic3a7e65jzuexhoey2qenb2fdbnvptuic4nabplx26b2hsqlrbc6y
tr.wikipedia-on-ipfs.org/wiki/Dandanakan_Savaşı,bafkreic7qk36zvu6tebq7zxqwp36d4mduu7z5fmms54kaxqb7uzpjzbbnm
tr.wikipedia-on-ipfs.org/wiki/II._Gıyâseddin_Keyhüsrev,bafkreih2jzxmumnterlys5o6t3aq4epwxwybmgcxik24qmqwanc7zwmc4i
tr.wikipedia-on-ipfs.org/wiki/Doğu_Çağatay_Hanlığı,bafkreidihlamg346pbb2nqrdsxtz5aroqd5w6deadtnqb4agotvyjzpc6u
tr.wikipedia-on-ipfs.org/wiki/Türbe,bafkreigi7q4y5vnncktbvvcar5bqyqa6avb7nijqmj6y434sy6zxwaum4m
tr.wikipedia-on-ipfs.org/wiki/II._Tutuş,bafkreiajepl6bubyv7iqts6xm3xeqeho4oqfoiej4algvlic3vl5biefhy
tr.wikipedia-on-ipfs.org/wiki/Kazan_Hanlığı,bafkreifwma2kuz7j4ewtvhyv5c3cyofcijgx2u2hqdaycf7zwipy2rtgsm
tr.wikipedia-on-ipfs.org/wiki/Büyük_Horasan,bafkreighqun3qsj4kqgzifrufxn73xej32dqwlasbzcytw34vwff6eejdu
tr.wikipedia-on-ipfs.org/wiki/Müizzeddin_Melikşah,bafkreieszlnacd5vpsu7gkqtdwyltvrhfq2rwaw4jymrz5qngjmmu5dewy
tr.wikipedia-on-ipfs.org/wiki/II._Kılıç_Arslan,bafkreihmi2uzi5vbfw5bdbwjluqxzkhq54qgjhhmouwufxjap3we7pzt7m
tr.wikipedia-on-ipfs.org/wiki/Akşitler,bafkreibarnabydoryig6y2i6v6mndm45osnnd6lx4whf2odp4qg7he5xgm
tr.wikipedia-on-ipfs.org/wiki/Tekeoğulları_Beyliği,bafkreicxqryfu3llo64pwo3st5qvkbn5cj5xzp5dzu72htlhzsdbk34e6y
tr.wikipedia-on-ipfs.org/wiki/Suriye_Selçuklu_Devleti,bafkreih3xayx4wfvqsxmt4trdwq4jd4vz42zjfcoeujgcxuhw26t767pdq
tr.wikipedia-on-ipfs.org/wiki/Emevî_Camii,bafkreiezwul2zkwof23rk6mh2qbda7pveexh7mgia3ttuuw6zloxmvo364
tr.wikipedia-on-ipfs.org/wiki/I._Melikşah,bafkreigvuvjigquzuc4t2lutnnveqfplp3q7qvxiqzrajyvqv5dje6ve5a
tr.wikipedia-on-ipfs.org/wiki/Avrupa_Hun_İmparatorluğu,bafkreihgv3ojpwakzl4fss7na3kppz2lpkblt6gtp75w7vrqdwcztr64hq
tr.wikipedia-on-ipfs.org/wiki/Kutalmış,bafkreig6w34q6smychp5iqsee6ihl6zix46dnr4dr2bo2srz5tai2klpmi
tr.wikipedia-on-ipfs.org/wiki/Hindukuş_Dağları,bafkreidusxbgb6da7gt4dopbrm5tv5dnj3wg6npvrro6ek2fmegrcksam4
tr.wikipedia-on-ipfs.org/wiki/Hive_Hanlığı,bafkreibf4h2xq2rgqt64pmdheqx7ovn3gacamuzfg5swqqavfgtujijwse
tr.wikipedia-on-ipfs.org/wiki/Müsâfirîler,bafkreidsb3dm5ljana4ub34vqe5hosk7hws4ad2y7ikgzq3vb536dr5y5m
tr.wikipedia-on-ipfs.org/wiki/Kınık_boyu,bafkreih4a37qzkkcnyjtgjunqqtinzufzlach5w6qg3cyec33hsyy7z6te
tr.wikipedia-on-ipfs.org/wiki/Babür_İmparatorluğu,bafkreidpkkzcpdw3m6fri2g4vzet5sohjwrmzyv6uokm3vkyauupvcyweq
tr.wikipedia-on-ipfs.org/wiki/İslam_dünyası,bafkreicbqxeogpsc4cj63xe6bjhxyvd73auwzejni5vh2t6ywtcm5xd4uy
tr.wikipedia-on-ipfs.org/wiki/Arap_Yarımadası,bafkreib7o3vtiykqxtstewesvs7b6bq4iiq6dq3puxz3izawsqohskynty
tr.wikipedia-on-ipfs.org/wiki/I._Alâeddin_Keykubad,bafkreiabntvi6ctzay5i5cuztww5unkostrjfl4x2fwlxrc7dufndehkyy
tr.wikipedia-on-ipfs.org/wiki/Nizâmülmülk,bafkreiceqsx3n5tqbviu3gkgjyxrgwxchdmtbj3zax524axgyctcoonbmu
tr.wikipedia-on-ipfs.org/wiki/Tâhirîler,bafkreic2e6torg3f6rgj2fgosqwuycdvwchj6tmaqca7fcxofewzqxgobu
tr.wikipedia-on-ipfs.org/wiki/Büveyhoğulları,bafkreigk2kpxurhjvjj7ewzw4zfguelclfcjqfflmmbc3pv2i3eaxvfkly
tr.wikipedia-on-ipfs.org/wiki/Hotakîler,bafkreifvqv54mdd2wrenn325gq2o7cdfl25aywyqfeebzansx6yolunzpa
tr.wikipedia-on-ipfs.org/wiki/Aral_Gölü,bafkreie6bqu2r6iexlhupis4ovmhcksx77qyef32fieb5r3nzr2bjzh6vq
tr.wikipedia-on-ipfs.org/wiki/Pehlevî_Hanedanı,bafkreibqebseb2742nokllmgko2rjvuqcwn2xdmdcmhljd67usnkkyarme
tr.wikipedia-on-ipfs.org/wiki/Akad_İmparatorluğu,bafkreihhyafitbfu7lp7a6kik4hz3at43tatnckt3imtdmhcqbq2ldolbu
tr.wikipedia-on-ipfs.org/wiki/Mekke_Şerifliği,bafkreigsvb4t65ahfavgl2njrccyrpzgzrbxmu4sgyud32o6ueiqpysc6u
